coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
eth,748,508,19,8,8,6,2,90.4,-16.7,"""[41.13, 55.11, 311.42, 55.14, 58.24, 21.23]""","""[-20.15, -13.22]""",20.4
eth,748,845,19,21,2,2,0,422.7,,"""[825.66, 19.66]""","""[]""",33.9
eth,748,488,19,7,11,7,4,76.0,-10.8,"""[24.29, 57.57, 346.34, 7.87, 9.0, 62.44, 24.19]""","""[-2.89, -15.59, -15.54, -9.19]""",19.6
eth,748,462,19,9,7,6,1,79.9,-16.6,"""[34.97, 43.13, 308.76, 37.74, 40.52, 13.99]""","""[-16.64]""",18.5
eth,748,420,19,11,5,5,0,84.1,,"""[100.37, 249.75, 25.32, 38.39, 6.65]""","""[]""",16.9
eth,748,457,17,10,6,5,1,96.0,-22.5,"""[120.64, 267.68, 37.74, 40.52, 13.61]""","""[-22.51]""",18.4
eth,748,953,17,19,2,2,0,476.6,,"""[921.85, 31.28]""","""[]""",38.2
eth,748,1669,17,22,1,1,0,1669.8,,"""[1669.78]""","""[]""",67.0
eth,748,695,17,15,4,3,1,234.0,-6.7,"""[683.52, 1.02, 17.53]""","""[-6.72]""",27.9
eth,748,920,17,20,2,2,0,460.0,,"""[890.18, 29.84]""","""[]""",36.9
eth,748,510,17,8,8,6,2,90.9,-17.6,"""[41.13, 56.17, 311.42, 54.81, 58.24, 23.7]""","""[-21.51, -13.61]""",20.5
eth,748,858,17,21,2,2,0,429.0,,"""[834.8, 23.22]""","""[]""",34.4
eth,748,525,17,7,10,6,4,94.9,-10.9,"""[23.82, 57.76, 335.61, 62.86, 62.44, 27.16]""","""[-3.38, -15.53, -15.54, -9.19]""",21.1
eth,748,470,17,9,7,6,1,81.2,-17.3,"""[41.13, 44.78, 304.76, 39.85, 40.52, 16.42]""","""[-17.3]""",18.9
eth,748,429,17,11,5,5,0,85.9,,"""[100.37, 249.75, 30.18, 40.52, 8.89]""","""[]""",17.2
