coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
xrp,748,275,7,11,8,4,4,79.9,-11.1,"""[17.25, 72.49, 195.12, 34.78]""","""[-3.17, -12.19, -17.43, -11.71]""",11.0
xrp,748,194,7,15,6,4,2,58.6,-19.8,"""[13.3, 36.59, 158.72, 25.64]""","""[-13.62, -25.94]""",7.8
xrp,748,255,7,13,7,4,3,77.1,-17.7,"""[17.25, 61.28, 195.12, 34.78]""","""[-6.7, -23.25, -23.27]""",10.2
xrp,748,194,7,14,7,4,3,62.6,-18.7,"""[15.43, 38.5, 164.9, 31.53]""","""[-9.56, -23.25, -23.27]""",7.8
xrp,748,148,7,20,3,2,1,77.0,-5.4,"""[48.52, 105.42]""","""[-5.42]""",6.0
xrp,748,259,7,12,7,4,3,77.1,-16.4,"""[17.25, 61.28, 195.12, 34.78]""","""[-5.95, -19.85, -23.27]""",10.4
xrp,748,157,7,19,4,3,1,58.8,-18.9,"""[59.16, 105.42, 11.86]""","""[-18.91]""",6.3
xrp,748,384,7,8,10,5,5,87.8,-10.9,"""[6.7, 29.22, 84.48, 254.43, 64.0]""","""[-5.2, -31.6, -1.16, -10.22, -6.28]""",15.4
xrp,748,79,7,22,3,2,1,44.0,-8.4,"""[18.64, 69.31]""","""[-8.36]""",3.2
xrp,748,101,7,21,3,2,1,54.4,-7.1,"""[21.54, 87.22]""","""[-7.09]""",4.1
xrp,748,209,16,11,7,4,3,65.8,-17.7,"""[17.25, 35.11, 176.07, 34.78]""","""[-9.67, -19.85, -23.71]""",8.4
xrp,748,93,16,15,6,4,2,35.5,-24.1,"""[12.73, 19.24, 87.22, 22.62]""","""[-20.35, -27.89]""",3.8
xrp,748,173,16,13,6,4,2,53.6,-20.2,"""[16.74, 30.2, 132.73, 34.78]""","""[-17.25, -23.25]""",7.0
xrp,748,136,16,14,6,4,2,45.3,-22.4,"""[14.81, 30.2, 105.42, 30.58]""","""[-18.91, -25.94]""",5.5
xrp,748,85,16,20,2,2,0,43.0,,"""[5.33, 80.66]""","""[]""",3.4
xrp,748,194,16,12,6,4,2,57.8,-18.2,"""[17.25, 34.93, 144.24, 34.78]""","""[-13.08, -23.25]""",7.8
xrp,748,39,16,19,3,2,1,23.1,-7.1,"""[10.45, 35.81]""","""[-7.09]""",1.6
xrp,748,187,16,8,11,5,6,53.9,-13.7,"""[21.97, 71.6, 12.19, 99.89, 64.0]""","""[-2.61, -11.01, -41.27, -4.98, -16.02, -6.36]""",7.5
xrp,748,73,16,22,2,1,1,80.7,-7.6,"""[80.66]""","""[-7.62]""",2.9
xrp,748,74,16,21,2,1,1,80.7,-6.5,"""[80.66]""","""[-6.46]""",3.0
xrp,748,248,12,11,7,4,3,74.6,-16.7,"""[17.25, 61.22, 176.07, 43.96]""","""[-7.73, -19.12, -23.27]""",10.0
xrp,748,125,12,15,6,4,2,42.7,-22.9,"""[12.73, 30.2, 105.42, 22.62]""","""[-19.87, -25.94]""",5.0
xrp,748,183,12,13,6,4,2,55.0,-18.2,"""[17.25, 35.11, 132.73, 34.78]""","""[-13.08, -23.25]""",7.4
