coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
btc,699,20,12,21,3,1,2,46.5,-13.2,"""[46.54]""","""[-19.01, -7.34]""",0.9
btc,699,19,12,22,3,1,2,46.5,-13.4,"""[46.54]""","""[-19.01, -7.88]""",0.8
btc,699,21,13,7,19,5,14,20.3,-5.7,"""[0.33, 27.07, 19.93, 8.02, 46.33]""","""[-6.78, -0.08, -11.43, -9.55, -9.04, -2.45, -3.83, -4.39, -8.96, -7.43, -3.96, -8.54, -2.42, -1.55]""",0.9
btc,699,20,13,8,15,5,10,19.7,-7.8,"""[0.33, 24.74, 19.93, 3.87, 49.84]""","""[-9.63, -1.09, -14.15, -13.09, -2.93, -5.88, -10.07, -8.78, -3.96, -8.87]""",0.9
btc,699,43,13,9,10,4,6,23.0,-8.0,"""[21.37, 19.17, 2.92, 48.59]""","""[-12.34, -4.98, -1.68, -14.51, -3.81, -10.94]""",1.9
btc,699,-6,13,10,7,3,4,12.4,-11.0,"""[17.36, 17.05, 2.92]""","""[-15.68, -6.76, -3.72, -17.84]""",-0.3
btc,699,-17,13,11,7,3,4,11.4,-12.9,"""[17.36, 15.66, 1.13]""","""[-17.41, -7.99, -8.22, -17.84]""",-0.7
btc,699,-29,13,12,7,2,5,14.3,-11.7,"""[15.35, 13.33]""","""[-22.21, -9.34, -8.22, -17.84, -0.68]""",-1.3
btc,699,-29,13,13,6,2,4,8.9,-11.9,"""[12.62, 5.24]""","""[-14.71, -10.87, -18.69, -3.34]""",-1.3
btc,699,-27,13,14,6,2,4,10.6,-12.1,"""[15.92, 5.24]""","""[-15.68, -13.61, -12.52, -6.51]""",-1.2
btc,699,-33,13,15,6,2,4,9.3,-13.0,"""[13.38, 5.24]""","""[-16.99, -14.96, -13.61, -6.51]""",-1.4
btc,699,-43,13,16,6,2,4,6.4,-14.0,"""[11.65, 1.22]""","""[-18.37, -17.46, -13.61, -6.51]""",-1.8
btc,699,-55,13,17,6,1,5,11.1,-13.2,"""[11.1]""","""[-23.13, -19.2, -17.01, -0.38, -6.51]""",-2.4
btc,699,-34,13,18,5,1,4,10.0,-11.1,"""[10.01]""","""[-20.38, -17.01, -0.38, -6.51]""",-1.5
btc,699,13,13,19,3,1,2,48.1,-17.4,"""[48.06]""","""[-28.24, -6.51]""",0.6
btc,699,39,13,20,2,1,1,46.5,-7.3,"""[46.54]""","""[-7.34]""",1.7
btc,699,36,13,21,2,1,1,44.3,-7.3,"""[44.27]""","""[-7.34]""",1.6
btc,699,32,13,22,2,1,1,43.6,-10.8,"""[43.57]""","""[-10.82]""",1.4
btc,699,23,14,7,18,6,12,17.0,-6.5,"""[0.33, 27.07, 19.93, 8.02, 0.24, 46.33]""","""[-6.78, -0.08, -11.43, -9.55, -9.04, -3.81, -3.4, -4.39, -10.07, -7.43, -3.96, -8.54]""",1.0
btc,699,18,14,8,15,5,10,20.1,-8.1,"""[0.33, 27.07, 19.17, 3.87, 49.84]""","""[-9.63, -1.85, -11.49, -13.09, -10.05, -5.88, -5.88, -10.95, -3.96, -8.54]""",0.8
btc,699,-8,14,9,9,3,6,13.9,-8.4,"""[21.71, 17.05, 2.92]""","""[-12.34, -4.98, -1.68, -14.51, -10.05, -7.03]""",-0.4
btc,699,-6,14,10,7,3,4,12.3,-10.8,"""[17.36, 17.05, 2.57]""","""[-15.68, -6.76, -3.09, -17.84]""",-0.3
btc,699,-21,14,11,7,3,4,11.3,-13.8,"""[17.36, 15.51, 1.01]""","""[-21.15, -7.99, -8.22, -17.84]""",-0.9
btc,699,-38,14,12,7,2,5,12.8,-12.9,"""[15.35, 10.16]""","""[-22.21, -13.44, -8.22, -17.84, -2.79]""",-1.7
btc,699,-26,14,13,6,2,4,10.3,-11.8,"""[15.35, 5.24]""","""[-14.71, -10.28, -18.69, -3.34]""",-1.1
btc,699,-27,14,14,6,2,4,10.6,-12.1,"""[15.92, 5.24]""","""[-15.68, -13.61, -12.52, -6.51]""",-1.2
btc,699,-33,14,15,6,2,4,9.3,-13.0,"""[13.38, 5.24]""","""[-16.99, -14.8, -13.69, -6.51]""",-1.4
btc,699,-44,14,16,6,2,4,7.3,-14.8,"""[11.65, 2.94]""","""[-19.44, -17.46, -15.69, -6.51]""",-1.9
btc,699,-54,14,17,6,1,5,11.6,-13.2,"""[11.65]""","""[-23.13, -19.2, -17.01, -0.38, -6.51]""",-2.3
btc,699,-38,14,18,5,1,4,10.0,-12.1,"""[10.01]""","""[-20.38, -20.28, -1.36, -6.51]""",-1.7
btc,699,10,14,19,3,1,2,46.5,-17.8,"""[46.54]""","""[-28.24, -7.34]""",0.5
btc,699,34,14,20,2,1,1,46.2,-12.2,"""[46.24]""","""[-12.22]""",1.5
btc,699,27,14,21,2,1,1,42.6,-14.9,"""[42.6]""","""[-14.89]""",1.2
btc,699,25,14,22,2,1,1,40.5,-14.9,"""[40.53]""","""[-14.89]""",1.1
btc,699,34,15,7,18,5,13,22.1,-5.8,"""[0.33, 28.54, 27.31, 8.02, 46.33]""","""[-6.78, -0.08, -10.3, -9.55, -9.04, -3.81, -3.4, -4.39, -10.07, -7.43, -3.96, -6.59, -0.16]""",1.5
btc,699,30,15,8,14,5,9,19.9,-7.7,"""[0.33, 26.56, 18.72, 3.87, 49.84]""","""[-8.56, -2.12, -13.09, -10.05, -5.88, -5.23, -11.87, -3.96, -8.54]""",1.3
btc,699,-18,15,9,10,3,7,13.9,-8.6,"""[21.71, 17.05, 2.92]""","""[-12.34, -4.07, -3.09, -14.51, -10.05, -7.03, -8.87]""",-0.8
btc,699,-7,15,10,7,3,4,12.2,-11.0,"""[17.36, 16.78, 2.57]""","""[-15.68, -6.76, -3.6, -17.84]""",-0.3
btc,699,-17,15,11,7,3,4,10.6,-12.3,"""[17.36, 13.61, 0.74]""","""[-17.41, -7.99, -6.04, -17.84]""",-0.8
btc,699,-39,15,12,7,2,5,13.6,-13.3,"""[15.35, 11.83]""","""[-22.21, -13.44, -10.05, -17.84, -2.79]""",-1.7
btc,699,-21,15,13,6,2,4,12.8,-11.7,"""[15.35, 10.16]""","""[-14.71, -10.05, -18.69, -3.34]""",-0.9
btc,699,-33,15,14,6,2,4,8.5,-12.6,"""[13.38, 3.57]""","""[-15.68, -13.61, -14.63, -6.51]""",-1.4
btc,699,-37,15,15,6,2,4,8.5,-13.5,"""[13.38, 3.57]""","""[-16.99, -14.8, -15.69, -6.51]""",-1.6
btc,699,-44,15,16,6,2,4,7.1,-14.7,"""[11.65, 2.55]""","""[-19.11, -17.46, -15.69, -6.51]""",-1.9
btc,699,-61,15,17,6,1,5,11.6,-14.5,"""[11.65]""","""[-23.13, -20.38, -20.28, -2.37, -6.51]""",-2.6
btc,699,-26,15,18,4,1,3,10.0,-12.2,"""[10.01]""","""[-26.47, -2.85, -7.34]""",-1.1
btc,699,9,15,19,3,1,2,40.5,-15.6,"""[40.53]""","""[-20.28, -10.82]""",0.4
btc,699,25,15,20,2,1,1,40.5,-14.9,"""[40.53]""","""[-14.89]""",1.1
btc,699,22,15,21,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
btc,699,22,15,22,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
btc,699,38,16,7,17,5,12,21.7,-5.8,"""[0.33, 26.56, 27.31, 8.02, 46.33]""","""[-6.78, -0.08, -9.55, -10.47, -9.04, -3.81, -4.04, -4.39, -10.95, -3.96, -6.59, -0.16]""",1.7
btc,699,31,16,8,14,5,9,19.9,-7.6,"""[0.33, 25.5, 17.05, 3.87, 52.67]""","""[-8.56, -1.85, -12.04, -10.05, -5.88, -5.23, -11.87, -3.96, -8.54]""",1.3
btc,699,-10,16,9,9,3,6,14.0,-8.8,"""[22.15, 17.05, 2.92]""","""[-12.34, -4.07, -3.09, -14.51, -10.05, -8.54]""",-0.4
btc,699,-10,16,10,7,3,4,11.2,-11.0,"""[17.36, 13.61, 2.57]""","""[-14.38, -7.99, -3.6, -17.84]""",-0.4
btc,699,-22,16,11,7,3,4,10.5,-13.4,"""[17.22, 13.61, 0.74]""","""[-17.41, -12.4, -6.04, -17.84]""",-0.9
btc,699,-38,16,12,7,2,5,13.8,-13.3,"""[15.35, 12.27]""","""[-22.21, -13.44, -10.05, -17.84, -2.79]""",-1.7
btc,699,-24,16,13,6,2,4,11.4,-11.7,"""[12.62, 10.16]""","""[-14.71, -10.05, -18.69, -3.34]""",-1.0
btc,699,-39,16,14,6,2,4,8.5,-14.2,"""[13.38, 3.57]""","""[-15.68, -13.61, -20.99, -6.51]""",-1.7
btc,699,-39,16,15,6,2,4,7.1,-13.5,"""[11.65, 2.55]""","""[-16.99, -14.8, -15.69, -6.51]""",-1.7
btc,699,-46,16,16,6,2,4,6.3,-14.7,"""[11.1, 1.5]""","""[-19.01, -17.46, -15.69, -6.51]""",-2.0
btc,699,-61,16,17,6,1,5,10.0,-14.2,"""[10.01]""","""[-21.63, -20.38, -20.28, -2.37, -6.51]""",-2.6
btc,699,8,16,18,3,1,2,42.6,-17.2,"""[42.6]""","""[-26.47, -7.88]""",0.4
btc,699,-2,16,19,3,1,2,40.5,-21.7,"""[40.53]""","""[-28.46, -14.89]""",-0.1
btc,699,25,16,20,2,1,1,40.5,-14.9,"""[40.53]""","""[-14.89]""",1.1
btc,699,22,16,21,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
btc,699,22,16,22,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
btc,699,37,17,7,17,6,11,18.2,-6.6,"""[0.33, 26.56, 27.31, 8.02, 0.78, 46.33]""","""[-6.78, -0.08, -9.55, -10.47, -12.04, -3.81, -4.04, -4.39, -10.95, -3.96, -5.99]""",1.6
btc,699,33,17,8,13,5,8,19.8,-8.2,"""[0.33, 25.22, 17.05, 3.87, 52.67]""","""[-8.56, -1.85, -13.49, -10.05, -5.88, -5.23, -11.87, -8.54]""",1.4
btc,699,-2,17,9,8,3,5,14.0,-9.0,"""[22.15, 17.05, 2.92]""","""[-12.34, -5.33, -3.09, -15.77, -8.54]""",-0.1
btc,699,-21,17,10,8,3,5,11.2,-11.0,"""[17.36, 13.61, 2.57]""","""[-14.38, -8.25, -5.54, -17.84, -8.87]""",-0.9
btc,699,-26,17,11,7,2,5,15.4,-11.5,"""[17.18, 13.61]""","""[-17.41, -12.4, -8.22, -17.84, -1.41]""",-1.1
btc,699,-41,17,12,7,2,5,12.4,-13.4,"""[12.62, 12.27]""","""[-22.21, -13.44, -10.05, -18.28, -2.79]""",-1.8
btc,699,-28,17,13,6,2,4,11.2,-12.7,"""[12.62, 9.75]""","""[-14.71, -11.88, -20.99, -3.34]""",-1.2
btc,699,-36,17,14,6,2,4,7.6,-13.0,"""[11.65, 3.57]""","""[-15.68, -14.8, -14.94, -6.51]""",-1.6
btc,699,-41,17,15,6,2,4,7.1,-13.9,"""[11.65, 2.55]""","""[-16.99, -16.52, -15.69, -6.51]""",-1.8
btc,699,-53,17,16,6,2,4,5.8,-16.2,"""[10.01, 1.5]""","""[-18.72, -20.38, -19.17, -6.51]""",-2.3
btc,699,-23,17,17,5,1,4,45.8,-17.4,"""[45.83]""","""[-21.63, -20.38, -20.28, -7.34]""",-1.0
btc,699,6,17,18,3,1,2,42.6,-18.2,"""[42.6]""","""[-28.46, -8.03]""",0.3
btc,699,25,17,19,2,1,1,40.5,-14.9,"""[40.53]""","""[-14.89]""",1.1
btc,699,22,17,20,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
btc,699,22,17,21,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
btc,699,22,17,22,2,1,1,37.0,-14.9,"""[36.99]""","""[-14.89]""",0.9
btc,699,41,18,7,15,5,10,22.5,-7.0,"""[0.33, 26.56, 26.83, 4.5, 54.1]""","""[-6.78, -0.08, -11.43, -10.47, -12.04, -3.81, -4.47, -4.39, -10.95, -5.99]""",1.8
btc,699,50,18,8,11,4,7,24.3,-6.7,"""[23.51, 17.05, 3.87, 52.67]""","""[-8.56, -2.12, -1.12, -13.49, -10.05, -4.68, -6.59]""",2.2
btc,699,-1,18,9,8,3,5,14.0,-8.6,"""[22.15, 16.89, 2.92]""","""[-10.55, -4.98, -3.6, -15.5, -8.54]""",-0.1
btc,699,-22,18,10,8,3,5,10.8,-11.1,"""[17.36, 13.61, 1.39]""","""[-14.38, -8.55, -6.04, -17.84, -8.54]""",-1.0
btc,699,-28,18,11,7,2,5,15.4,-11.9,"""[17.22, 13.61]""","""[-16.47, -12.4, -10.05, -17.84, -2.79]""",-1.2
btc,699,-40,18,12,7,2,5,13.6,-13.6,"""[15.35, 11.83]""","""[-22.21, -13.44, -11.07, -18.28, -2.79]""",-1.7
btc,699,-31,18,13,6,2,4,10.5,-13.0,"""[12.62, 8.41]""","""[-14.71, -14.8, -19.04, -3.51]""",-1.3
btc,699,-40,18,14,6,2,4,7.1,-13.6,"""[11.65, 2.55]""","""[-15.68, -16.36, -15.69, -6.51]""",-1.7
btc,699,-45,18,15,6,2,4,6.3,-14.5,"""[11.1, 1.5]""","""[-16.99, -18.66, -15.85, -6.51]""",-1.9
btc,699,-58,18,16,6,2,4,5.7,-17.5,"""[10.01, 1.29]""","""[-19.01, -24.18, -20.28, -6.51]""",-2.5
btc,699,17,18,17,3,1,2,44.8,-13.8,"""[44.84]""","""[-20.28, -7.34]""",0.7
btc,699,33,18,18,2,1,1,40.5,-7.5,"""[40.53]""","""[-7.49]""",1.4
btc,699,22,18,19,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
btc,699,22,18,20,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
btc,699,21,18,21,2,1,1,37.0,-15.8,"""[36.99]""","""[-15.83]""",0.9
btc,699,45,18,22,1,1,0,46.0,,"""[45.98]""","""[]""",2.0
btc,699,42,19,7,15,5,10,22.5,-7.0,"""[0.33, 26.56, 26.83, 4.5, 54.1]""","""[-7.2, -0.84, -11.43, -10.47, -12.04, -3.81, -3.83, -4.39, -10.07, -5.51]""",1.8
btc,699,-4,19,8,10,3,7,14.8,-7.0,"""[23.51, 17.05, 3.87]""","""[-8.56, -3.91, -3.09, -12.04, -10.05, -4.68, -6.59]""",-0.2
btc,699,-5,19,9,8,3,5,14.5,-9.8,"""[23.66, 16.89, 2.92]""","""[-14.38, -5.33, -5.43, -15.5, -8.54]""",-0.2
btc,699,-25,19,10,8,3,5,10.8,-11.5,"""[17.36, 13.61, 1.39]""","""[-14.38, -8.55, -8.22, -17.84, -8.54]""",-1.1
btc,699,-30,19,11,7,2,5,15.4,-12.3,"""[17.22, 13.61]""","""[-18.52, -12.4, -10.05, -17.84, -2.79]""",-1.3
