coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
xrp,681.8333333333333,1.3182287276466371,4,15,23,7,17.946481183746492,16,-7.769196222411176,0.05800077511033848,"""[28.309090909090923, 10.538896707008163, 24.574329501915695, 1.301129943502821, 5.539412997903572, 33.432357473035445, 21.93015075376884]""","""[-1.7322492889823162, -8.385677976871271, -8.006976744186046, -10.13047935716265, -6.374275470570666, -7.394317217981337, -1.9503401360544146, -10.127027027027033, -9.272841978770279, -10.318802596778069, -10.903400054839606, -6.981077038145103, -17.671657468399495, -8.416578322061778, -2.1152612013304593, -4.526177679418277]"""
xrp,681.8333333333333,1.5415500619318787,4,16,21,6,21.184778689464444,15,-8.371141471656985,0.06782669546510345,"""[27.335064935064935, 6.648633879781421, 24.574329501915695, 13.18813559322033, 33.432357473035445, 21.93015075376884]""","""[-2.0166563620625646, -8.385677976871271, -8.006976744186046, -11.626738708783604, -7.0967388081826295, -3.1817076618603397, -6.414580941446602, -11.996655317444423, -12.43469584034624, -10.903400054839606, -7.355048616305163, -17.849688445789564, -9.513269968927078, -2.4019898556379093, -6.383296772171736]"""
xrp,681.8333333333333,-8.501662326595948,4,17,20,6,18.42534935832871,14,-8.503839891183443,-0.374064829818448,"""[24.35887445887447, 6.648633879781421, 24.574329501915695, 12.198387096774182, 23.32887662453268, 19.44299458809381]""","""[-3.9085816742920665, -8.855877493963662, -11.016506717850284, -11.626738708783604, -8.575573866980573, -3.509411101718794, -6.736155606407322, -11.996655317444423, -12.43469584034624, -10.903400054839606, -10.247095487409625, -9.513269968927078, -2.9704422032583255, -6.759354434346596]"""
xrp,681.8333333333333,3.7694205300573356,4,18,19,6,19.748905111049243,13,-8.824923856633701,0.165850817748795,"""[24.35887445887447, 6.700109679188371, 22.786334610472544, 11.772759856630822, 33.432357473035445, 19.44299458809381]""","""[-3.9085816742920665, -9.542114627017414, -11.016506717850284, -14.283813443072694, -8.575573866980573, -4.8777777777777755, -7.372727272727261, -11.996655317444423, -12.43469584034624, -10.247095487409625, -9.513269968927078, -3.083339790778762, -7.87185835161391]"""
xrp,681.8333333333333,-7.665744166684742,4,19,19,6,18.523090696250662,13,-9.13879141109144,-0.337285248106393,"""[24.35887445887447, 5.76790393013101, 21.574253920080945, 7.5836917562724, 33.432357473035445, 18.42146263910971]""","""[-3.9085816742920665, -10.763149962321021, -11.016506717850284, -14.283813443072694, -9.643325526932088, -4.8777777777777755, -7.372727272727261, -11.996655317444423, -12.43469584034624, -10.247095487409625, -9.897112045329928, -4.490988927071404, -7.87185835161391]"""
xrp,681.8333333333333,-26.27114147811593,4,20,19,6,17.440350467254763,13,-10.0702495601265,-1.1559045382695838,"""[23.323665146230223, 5.140174672489082, 21.574253920080945, 4.696163069544369, 32.758243451463784, 17.149602543720185]""","""[-6.465628042843234, -11.466490831449388, -12.50403071017275, -15.68759521218715, -10.894297352342164, -7.250595882990243, -8.224118476727783, -11.996655317444423, -12.43469584034624, -10.247095487409625, -10.847578139279843, -4.490988927071404, -8.40347406138028]"""
xrp,681.8333333333333,1.2191312552228921,4,21,16,6,16.036239814070324,10,-9.499830762919903,0.053640583216846886,"""[17.574418604651164, 4.31375575412943, 21.574253920080945, 4.696163069544369, 30.909244992295843, 17.149602543720185]""","""[-6.465628042843234, -12.50403071017275, -16.798087799622945, -0.361856270002913, -8.562623413258102, -13.231911532385457, -12.43469584034624, -11.74501103211571, -4.490988927071404, -8.40347406138028]"""
xrp,681.8333333333333,-17.827059977709283,4,22,15,6,13.540197789552451,9,-11.007582968336,-0.784373208503464,"""[25.99304932735426, 1.876712699702132, 18.342932728647025, 4.696163069544369, 15.09051651143099, 15.24181240063594]""","""[-8.721100261967138, -12.50403071017275, -17.52526259089686, -8.491234633885618, -14.752448657187992, -12.43469584034624, -11.74501103211571, -4.490988927071404, -8.40347406138028]"""
xrp,681.8333333333333,5.8364877429807205,4,23,13,6,13.229726437590836,7,-10.505981554652042,0.2567997540299511,"""[25.99304932735426, 1.876712699702132, 18.342932728647025, 4.696163069544369, 13.227688399661302, 15.24181240063594]""","""[-9.661800428673498, -12.901528540721289, -10.22060828526482, -14.752448657187992, -11.74501103211571, -4.490988927071404, -9.769485011529586]"""
xrp,681.8333333333333,18.16152447411395,4,24,11,6,11.531533865454366,5,-10.205535743722447,0.7990893193205845,"""[22.662863534675623, 1.876712699702132, 11.801928112354213, 4.696163069544369, 13.227688399661302, 14.923847376788553]""","""[-9.661800428673498, -14.331318419800098, -10.22060828526482, -11.941137533709245, -4.87281405116457]"""
