coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
xrp,682,9,10,9,8,5,3,7.1,-8.7,"""[10.63, 2.17, 9.69, 0.26, 12.63]""","""[-16.03, -2.86, -7.19]""",0.4
xrp,682,-11,10,10,8,3,5,9.5,-7.9,"""[9.71, 7.31, 11.52]""","""[-21.24, -7.15, -0.86, -2.38, -8.05]""",-0.5
xrp,682,28,10,11,6,3,3,15.2,-5.7,"""[6.42, 3.61, 35.61]""","""[-7.15, -1.9, -8.05]""",1.3
xrp,682,19,10,12,6,3,3,13.9,-7.5,"""[6.42, 3.61, 31.77]""","""[-8.57, -3.21, -10.58]""",0.9
xrp,682,0,10,13,6,2,4,17.4,-8.5,"""[6.42, 28.41]""","""[-10.42, -6.53, -6.38, -10.58]""",0.0
xrp,682,3,10,14,5,2,3,16.4,-9.7,"""[4.36, 28.41]""","""[-14.51, -6.82, -7.77]""",0.2
xrp,682,24,10,15,4,3,1,14.6,-19.8,"""[2.58, 13.51, 27.74]""","""[-19.8]""",1.1
xrp,682,10,10,16,4,2,2,16.6,-11.5,"""[8.84, 24.32]""","""[-19.8, -3.12]""",0.5
xrp,682,9,10,17,4,2,2,16.2,-11.5,"""[8.84, 23.48]""","""[-19.8, -3.12]""",0.4
xrp,682,-19,10,18,4,2,2,13.2,-23.1,"""[8.84, 17.57]""","""[-20.82, -25.35]""",-0.9
xrp,682,11,10,19,3,2,1,10.6,-10.1,"""[3.59, 17.57]""","""[-10.06]""",0.5
xrp,682,39,10,20,2,1,1,50.0,-10.4,"""[50.05]""","""[-10.39]""",1.7
xrp,682,33,10,21,2,1,1,50.0,-16.1,"""[50.05]""","""[-16.11]""",1.5
xrp,682,33,10,22,2,1,1,49.5,-16.1,"""[49.48]""","""[-16.11]""",1.5
xrp,682,27,10,23,2,1,1,48.1,-20.8,"""[48.08]""","""[-20.81]""",1.2
xrp,682,25,10,24,2,1,1,46.7,-21.3,"""[46.68]""","""[-21.31]""",1.1
xrp,682,-15,11,6,17,7,10,11.9,-9.9,"""[0.95, 22.68, 5.34, 21.11, 6.61, 13.4, 13.43]""","""[-2.47, -14.02, -15.74, -6.83, -22.08, -10.27, -7.77, -9.22, -5.04, -5.62]""",-0.7
xrp,682,-5,11,7,14,6,8,13.5,-10.8,"""[30.31, 5.34, 12.07, 4.5, 13.4, 15.56]""","""[-7.98, -14.66, -2.86, -22.08, -15.64, -8.18, -9.83, -5.04]""",-0.2
xrp,682,31,11,8,10,6,4,10.1,-7.2,"""[22.77, 1.31, 9.69, 0.95, 12.63, 13.31]""","""[-10.48, -2.86, -10.39, -5.24]""",1.4
xrp,682,1,11,9,8,4,4,8.5,-8.1,"""[10.63, 1.43, 9.69, 12.18]""","""[-21.24, -2.86, -0.96, -7.19]""",0.1
xrp,682,8,11,10,7,3,4,9.2,-4.7,"""[9.71, 7.31, 10.67]""","""[-7.15, -1.0, -2.55, -8.05]""",0.4
xrp,682,23,11,11,6,3,3,14.4,-6.6,"""[6.42, 3.61, 33.18]""","""[-7.15, -2.09, -10.58]""",1.0
xrp,682,18,11,12,6,3,3,13.9,-7.8,"""[6.42, 3.61, 31.77]""","""[-9.19, -3.64, -10.58]""",0.8
xrp,682,7,11,13,5,2,3,17.4,-9.1,"""[6.42, 28.41]""","""[-14.51, -6.53, -6.38]""",0.3
xrp,682,28,11,14,4,3,1,16.2,-19.8,"""[4.36, 15.89, 28.41]""","""[-19.8]""",1.3
xrp,682,18,11,15,4,2,2,19.1,-10.1,"""[12.81, 25.34]""","""[-19.8, -0.34]""",0.8
xrp,682,10,11,16,4,2,2,16.6,-11.5,"""[8.84, 24.32]""","""[-19.8, -3.12]""",0.5
xrp,682,-16,11,17,4,2,2,15.0,-23.1,"""[8.84, 21.18]""","""[-20.82, -25.35]""",-0.7
xrp,682,12,11,18,3,2,1,11.1,-10.1,"""[4.64, 17.57]""","""[-10.06]""",0.5
xrp,682,11,11,19,3,2,1,9.6,-8.2,"""[3.59, 15.7]""","""[-8.16]""",0.5
xrp,682,33,11,20,2,1,1,50.0,-16.1,"""[50.05]""","""[-16.11]""",1.5
xrp,682,31,11,21,2,1,1,48.1,-16.1,"""[48.08]""","""[-16.11]""",1.4
xrp,682,31,11,22,2,1,1,48.1,-16.1,"""[48.08]""","""[-16.11]""",1.4
xrp,682,25,11,23,2,1,1,46.7,-21.3,"""[46.68]""","""[-21.31]""",1.1
xrp,682,37,11,24,1,1,0,37.1,,"""[37.06]""","""[]""",1.6
xrp,682,-11,12,6,17,7,10,13.3,-10.4,"""[0.95, 30.31, 7.39, 21.11, 6.61, 13.4, 13.43]""","""[-2.47, -10.94, -14.02, -15.74, -22.08, -10.27, -7.77, -9.22, -5.04, -6.81]""",-0.5
xrp,682,-5,12,7,14,6,8,12.3,-10.0,"""[30.31, 4.79, 9.69, 4.5, 13.4, 11.27]""","""[-6.16, -2.86, -22.08, -15.64, -8.18, -10.63, -5.24, -9.16]""",-0.3
xrp,682,17,12,8,9,5,4,9.8,-7.7,"""[24.27, 1.31, 9.69, 0.95, 12.63]""","""[-10.48, -2.86, -10.39, -7.19]""",0.8
