coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
sol,682,-30,9,10,9,2,7,38.1,-15.3,"""[56.36, 19.83]""","""[-1.29, -18.8, -16.29, -19.53, -26.15, -12.75, -12.28]""",-1.4
sol,682,-76,9,11,9,2,7,35.3,-21.1,"""[56.36, 14.2]""","""[-11.64, -23.63, -23.73, -28.7, -29.87, -16.01, -13.8]""",-3.4
sol,682,-86,9,12,8,2,6,33.9,-25.6,"""[53.53, 14.2]""","""[-30.45, -23.73, -28.97, -31.49, -17.9, -21.23]""",-3.8
sol,682,-46,9,13,6,2,4,29.4,-26.2,"""[46.5, 12.25]""","""[-30.45, -23.73, -30.25, -20.51]""",-2.0
sol,682,-70,9,14,6,2,4,27.8,-31.6,"""[46.5, 9.19]""","""[-34.75, -25.16, -44.51, -22.13]""",-3.1
sol,682,-69,9,15,5,2,3,25.9,-40.5,"""[43.43, 8.33]""","""[-40.5, -53.79, -27.31]""",-3.1
sol,682,-82,9,16,5,2,3,20.8,-41.3,"""[37.56, 3.94]""","""[-41.43, -54.5, -28.03]""",-3.6
sol,682,-91,9,17,5,2,3,16.2,-41.3,"""[29.91, 2.4]""","""[-29.26, -65.19, -29.5]""",-4.0
sol,682,-101,9,18,5,2,3,13.1,-42.4,"""[25.18, 1.06]""","""[-29.26, -68.55, -29.5]""",-4.4
sol,682,-88,9,19,4,1,3,25.2,-37.8,"""[25.18]""","""[-72.87, -35.15, -5.26]""",-3.9
sol,682,-96,9,20,4,1,3,19.8,-38.6,"""[19.83]""","""[-73.38, -35.15, -7.37]""",-4.2
sol,682,-110,9,21,4,1,3,6.8,-39.2,"""[6.82]""","""[-73.81, -35.81, -7.94]""",-4.9
sol,682,-44,9,22,3,1,2,4.0,-24.2,"""[4.01]""","""[-36.98, -11.48]""",-2.0
sol,682,-10,9,23,2,1,1,1.4,-11.5,"""[1.4]""","""[-11.48]""",-0.4
sol,682,-11,9,24,2,1,1,1.4,-12.8,"""[1.4]""","""[-12.82]""",-0.5
sol,682,5,10,6,15,5,10,26.8,-12.8,"""[4.88, 82.33, 5.11, 37.14, 4.45]""","""[-17.16, -20.88, -1.89, -10.58, -15.97, -16.25, -12.67, -4.29, -14.08, -14.23]""",0.3
sol,682,41,10,7,10,3,7,40.0,-11.2,"""[16.22, 71.28, 32.55]""","""[-12.65, -11.44, -15.97, -14.98, -3.29, -4.29, -15.98]""",1.8
sol,682,27,10,8,9,3,6,36.7,-13.8,"""[9.66, 71.28, 29.11]""","""[-11.81, -16.1, -16.37, -24.13, -4.85, -9.31]""",1.2
sol,682,-21,10,9,9,3,6,26.2,-16.8,"""[2.43, 56.36, 19.83]""","""[-18.35, -21.29, -17.47, -24.13, -10.04, -9.31]""",-1.0
sol,682,-47,10,10,9,2,7,38.1,-17.7,"""[56.36, 19.83]""","""[-2.73, -21.4, -21.29, -27.83, -26.15, -13.48, -11.29]""",-2.1
sol,682,-74,10,11,9,2,7,36.7,-21.1,"""[53.53, 19.83]""","""[-11.64, -23.63, -23.73, -28.7, -29.87, -16.01, -13.8]""",-3.3
